LoRa RX #1: T=33.8 C, PM1=14.0, PM2=26.7 ug/m3, flame=505, RSSI=-104 dBm, SNR=8.7 dB
LoRa RX #208: T=30.8 C, PM1=9.1, PM2=17.4 ug/m3, flame=531, RSSI=-104 dBm, SNR=6.5 dB
LoRa RX #209: T=31.4 C, PM1=9.6, PM2=18.0 ug/m3, flame=525, RSSI=-106 dBm, SNR=6.9 dB
LoRa RX #210: T=31.2 C, PM1=9.7, PM2=18.1 ug/m3, flame=520, RSSI=-104 dBm, SNR=6.9 dB
LoRa RX #211: T=31.0 C, PM1=9.9, PM2=18.6 ug/m3, flame=523, RSSI=-105 dBm, SNR=7.0 dB
LoRa RX #212: T=31.4 C, PM1=10.1, PM2=19.2 ug/m3, flame=528, RSSI=-107 dBm, SNR=7.0 dB
LoRa RX #213: T=31.5 C, PM1=10.2, PM2=18.9 ug/m3, flame=517, RSSI=-107 dBm, SNR=7.2 dB
LoRa RX #214: T=31.5 C, PM1=10.5, PM2=20.5 ug/m3, flame=516, RSSI=-107 dBm, SNR=7.0 dB
LoRa RX #215: T=31.9 C, PM1=9.6, PM2=18.7 ug/m3, flame=519, RSSI=-105 dBm, SNR=7.1 dB
LoRa RX #216: T=31.9 C, PM1=10.0, PM2=20.2 ug/m3, flame=519, RSSI=-107 dBm, SNR=6.9 dB
LoRa RX #217: T=32.0 C, PM1=10.4, PM2=20.9 ug/m3, flame=519, RSSI=-108 dBm, SNR=7.1 dB
LoRa RX #218: T=32.2 C, PM1=9.9, PM2=19.0 ug/m3, flame=516, RSSI=-108 dBm, SNR=6.9 dB
LoRa RX #219: T=32.8 C, PM1=10.4, PM2=21.0 ug/m3, flame=515, RSSI=-106 dBm, SNR=7.0 dB
LoRa RX #220: T=32.6 C, PM1=10.6, PM2=20.3 ug/m3, flame=509, RSSI=-107 dBm, SNR=7.2 dB
LoRa RX #221: T=33.1 C, PM1=10.2, PM2=19.3 ug/m3, flame=265, RSSI=-106 dBm, SNR=7.3 dB
LoRa RX #222: T=33.3 C, PM1=10.4, PM2=21.0 ug/m3, flame=265, RSSI=-106 dBm, SNR=7.4 dB
LoRa RX #223: T=33.4 C, PM1=10.4, PM2=19.6 ug/m3, flame=257, RSSI=-107 dBm, SNR=7.4 dB
LoRa RX #224: T=33.1 C, PM1=10.9, PM2=20.9 ug/m3, flame=264, RSSI=-106 dBm, SNR=7.3 dB
LoRa RX #225: T=33.5 C, PM1=10.5, PM2=19.9 ug/m3, flame=252, RSSI=-105 dBm, SNR=7.5 dB
LoRa RX #226: T=33.4 C, PM1=10.6, PM2=20.7 ug/m3, flame=257, RSSI=-107 dBm, SNR=7.7 dB
LoRa RX #227: T=33.7 C, PM1=11.1, PM2=22.1 ug/m3, flame=251, RSSI=-106 dBm, SNR=7.6 dB
LoRa RX #228: T=34.4 C, PM1=10.8, PM2=20.7 ug/m3, flame=254, RSSI=-106 dBm, SNR=7.4 dB
LoRa RX #229: T=34.1 C, PM1=10.9, PM2=22.0 ug/m3, flame=255, RSSI=-106 dBm, SNR=7.5 dB
LoRa RX #230: T=34.4 C, PM1=11.2, PM2=22.1 ug/m3, flame=253, RSSI=-107 dBm, SNR=8.0 dB
LoRa RX #231: T=34.9 C, PM1=11.1, PM2=22.7 ug/m3, flame=252, RSSI=-106 dBm, SNR=8.1 dB
LoRa RX #232: T=35.1 C, PM1=10.8, PM2=21.3 ug/m3, flame=245, RSSI=-107 dBm, SNR=7.9 dB
LoRa RX #233: T=35.3 C, PM1=11.2, PM2=22.8 ug/m3, flame=249, RSSI=-106 dBm, SNR=7.8 dB
LoRa RX #234: T=35.7 C, PM1=11.4, PM2=22.7 ug/m3, flame=250, RSSI=-108 dBm, SNR=7.7 dB
LoRa RX #235: T=35.8 C, PM1=10.9, PM2=22.6 ug/m3, flame=251, RSSI=-108 dBm, SNR=8.1 dB
LoRa RX #236: T=36.0 C, PM1=11.3, PM2=22.4 ug/m3, flame=238, RSSI=-107 dBm, SNR=8.3 dB
LoRa RX #237: T=36.2 C, PM1=11.1, PM2=21.8 ug/m3, flame=494, RSSI=-106 dBm, SNR=8.2 dB
LoRa RX #238: T=36.1 C, PM1=11.1, PM2=22.1 ug/m3, flame=488, RSSI=-108 dBm, SNR=8.1 dB
LoRa RX #239: T=36.0 C, PM1=11.2, PM2=22.3 ug/m3, flame=486, RSSI=-107 dBm, SNR=8.4 dB
LoRa RX #240: T=36.0 C, PM1=12.0, PM2=24.0 ug/m3, flame=490, RSSI=-107 dBm, SNR=7.9 dB
LoRa RX #241: T=36.1 C, PM1=12.2, PM2=25.1 ug/m3, flame=494, RSSI=-107 dBm, SNR=8.0 dB
LoRa RX #242: T=36.5 C, PM1=11.4, PM2=23.9 ug/m3, flame=490, RSSI=-107 dBm, SNR=8.6 dB
LoRa RX #243: T=36.5 C, PM1=11.6, PM2=23.3 ug/m3, flame=491, RSSI=-107 dBm, SNR=8.6 dB
LoRa RX #244: T=36.9 C, PM1=12.4, PM2=25.4 ug/m3, flame=490, RSSI=-107 dBm, SNR=8.2 dB
LoRa RX #245: T=36.9 C, PM1=11.7, PM2=23.1 ug/m3, flame=490, RSSI=-108 dBm, SNR=8.2 dB
LoRa RX #246: T=37.2 C, PM1=11.7, PM2=23.3 ug/m3, flame=487, RSSI=-108 dBm, SNR=8.2 dB
LoRa RX #247: T=37.5 C, PM1=11.8, PM2=24.2 ug/m3, flame=482, RSSI=-109 dBm, SNR=8.4 dB
LoRa RX #248: T=37.4 C, PM1=11.8, PM2=24.2 ug/m3, flame=483, RSSI=-108 dBm, SNR=8.4 dB
LoRa RX #249: T=37.3 C, PM1=12.3, PM2=24.4 ug/m3, flame=483, RSSI=-110 dBm, SNR=8.8 dB
LoRa RX #250: T=37.0 C, PM1=12.3, PM2=25.5 ug/m3, flame=486, RSSI=-108 dBm, SNR=8.6 dB
LoRa RX #251: T=37.5 C, PM1=12.8, PM2=26.3 ug/m3, flame=477, RSSI=-110 dBm, SNR=8.5 dB
LoRa RX #252: T=37.7 C, PM1=12.3, PM2=25.0 ug/m3, flame=474, RSSI=-107 dBm, SNR=8.4 dB
LoRa RX #253: T=37.6 C, PM1=12.4, PM2=26.1 ug/m3, flame=481, RSSI=-108 dBm, SNR=8.9 dB
LoRa RX #254: T=37.6 C, PM1=12.4, PM2=25.7 ug/m3, flame=474, RSSI=-109 dBm, SNR=9.0 dB
LoRa RX #255: T=37.6 C, PM1=12.8, PM2=26.8 ug/m3, flame=481, RSSI=-108 dBm, SNR=8.7 dB
LoRa RX #256: T=37.8 C, PM1=12.5, PM2=25.1 ug/m3, flame=477, RSSI=-109 dBm, SNR=8.5 dB
LoRa RX #257: T=37.4 C, PM1=12.6, PM2=26.3 ug/m3, flame=473, RSSI=-108 dBm, SNR=9.0 dB
LoRa RX #258: T=37.2 C, PM1=12.6, PM2=26.1 ug/m3, flame=480, RSSI=-109 dBm, SNR=8.7 dB
LoRa RX #259: T=37.2 C, PM1=13.1, PM2=26.4 ug/m3, flame=473, RSSI=-108 dBm, SNR=8.8 dB
LoRa RX #260: T=37.3 C, PM1=12.5, PM2=26.2 ug/m3, flame=475, RSSI=-109 dBm, SNR=8.9 dB
LoRa RX #261: T=37.5 C, PM1=13.3, PM2=26.6 ug/m3, flame=473, RSSI=-109 dBm, SNR=9.1 dB
LoRa RX #262: T=37.3 C, PM1=12.9, PM2=26.4 ug/m3, flame=479, RSSI=-107 dBm, SNR=8.7 dB
LoRa RX #263: T=37.1 C, PM1=13.3, PM2=27.8 ug/m3, flame=474, RSSI=-108 dBm, SNR=9.2 dB
LoRa RX #264: T=37.2 C, PM1=12.9, PM2=26.0 ug/m3, flame=469, RSSI=-108 dBm, SNR=8.9 dB
LoRa RX #265: T=37.0 C, PM1=13.4, PM2=26.8 ug/m3, flame=477, RSSI=-110 dBm, SNR=9.2 dB
LoRa RX #266: T=37.2 C, PM1=13.2, PM2=26.7 ug/m3, flame=475, RSSI=-108 dBm, SNR=8.9 dB
LoRa RX #267: T=37.0 C, PM1=13.6, PM2=27.0 ug/m3, flame=477, RSSI=-110 dBm, SNR=9.2 dB
LoRa RX #268: T=36.8 C, PM1=13.2, PM2=26.6 ug/m3, flame=471, RSSI=-109 dBm, SNR=8.9 dB
LoRa RX #269: T=36.6 C, PM1=13.3, PM2=26.8 ug/m3, flame=474, RSSI=-108 dBm, SNR=9.4 dB
LoRa RX #270: T=36.0 C, PM1=13.6, PM2=28.1 ug/m3, flame=474, RSSI=-110 dBm, SNR=9.3 dB
LoRa RX #271: T=36.3 C, PM1=13.8, PM2=28.9 ug/m3, flame=481, RSSI=-109 dBm, SNR=9.1 dB
LoRa RX #272: T=36.2 C, PM1=13.0, PM2=26.5 ug/m3, flame=475, RSSI=-109 dBm, SNR=9.0 dB
LoRa RX #273: T=35.6 C, PM1=13.3, PM2=27.4 ug/m3, flame=471, RSSI=-108 dBm, SNR=9.1 dB
LoRa RX #274: T=35.8 C, PM1=13.7, PM2=27.5 ug/m3, flame=472, RSSI=-108 dBm, SNR=9.2 dB
LoRa RX #275: T=35.7 C, PM1=13.1, PM2=26.9 ug/m3, flame=476, RSSI=-110 dBm, SNR=9.2 dB
LoRa RX #276: T=35.3 C, PM1=13.8, PM2=28.9 ug/m3, flame=475, RSSI=-108 dBm, SNR=9.1 dB
LoRa RX #277: T=35.0 C, PM1=13.6, PM2=28.1 ug/m3, flame=483, RSSI=-110 dBm, SNR=9.4 dB
LoRa RX #278: T=35.0 C, PM1=13.6, PM2=27.7 ug/m3, flame=482, RSSI=-109 dBm, SNR=9.2 dB
LoRa RX #279: T=34.8 C, PM1=13.7, PM2=28.6 ug/m3, flame=478, RSSI=-108 dBm, SNR=9.4 dB
LoRa RX #280: T=34.4 C, PM1=13.6, PM2=27.6 ug/m3, flame=484, RSSI=-108 dBm, SNR=9.5 dB
LoRa RX #281: T=34.3 C, PM1=14.1, PM2=28.6 ug/m3, flame=476, RSSI=-109 dBm, SNR=9.5 dB
LoRa RX #282: T=34.5 C, PM1=13.3, PM2=27.5 ug/m3, flame=484, RSSI=-110 dBm, SNR=9.6 dB
LoRa RX #283: T=34.1 C, PM1=13.7, PM2=27.8 ug/m3, flame=483, RSSI=-108 dBm, SNR=9.2 dB
LoRa RX #284: T=33.7 C, PM1=13.7, PM2=28.4 ug/m3, flame=488, RSSI=-109 dBm, SNR=9.2 dB
LoRa RX #285: T=34.1 C, PM1=13.9, PM2=27.4 ug/m3, flame=485, RSSI=-109 dBm, SNR=9.5 dB
LoRa RX #286: T=33.6 C, PM1=13.4, PM2=26.6 ug/m3, flame=484, RSSI=-108 dBm, SNR=9.4 dB
LoRa RX #287: T=33.2 C, PM1=13.8, PM2=27.9 ug/m3, flame=489, RSSI=-110 dBm, SNR=9.5 dB
LoRa RX #288: T=33.2 C, PM1=14.1, PM2=28.1 ug/m3, flame=492, RSSI=-108 dBm, SNR=9.6 dB
LoRa RX #289: T=32.7 C, PM1=14.1, PM2=28.9 ug/m3, flame=490, RSSI=-109 dBm, SNR=9.5 dB
LoRa RX #290: T=32.8 C, PM1=14.0, PM2=28.3 ug/m3, flame=495, RSSI=-108 dBm, SNR=9.1 dB
LoRa RX #291: T=32.8 C, PM1=13.6, PM2=27.2 ug/m3, flame=491, RSSI=-109 dBm, SNR=9.0 dB
LoRa RX #292: T=32.1 C, PM1=13.9, PM2=27.0 ug/m3, flame=496, RSSI=-110 dBm, SNR=9.0 dB
LoRa RX #293: T=32.1 C, PM1=14.1, PM2=27.9 ug/m3, flame=491, RSSI=-109 dBm, SNR=9.3 dB
LoRa RX #294: T=32.5 C, PM1=14.3, PM2=28.3 ug/m3, flame=495, RSSI=-109 dBm, SNR=9.1 dB
LoRa RX #295: T=31.9 C, PM1=13.6, PM2=26.5 ug/m3, flame=500, RSSI=-108 dBm, SNR=9.0 dB
LoRa RX #296: T=32.1 C, PM1=13.8, PM2=27.1 ug/m3, flame=501, RSSI=-108 dBm, SNR=9.4 dB
LoRa RX #297: T=31.4 C, PM1=14.3, PM2=27.6 ug/m3, flame=503, RSSI=-107 dBm, SNR=9.3 dB
LoRa RX #298: T=31.7 C, PM1=14.3, PM2=28.3 ug/m3, flame=504, RSSI=-109 dBm, SNR=9.0 dB
LoRa RX #299: T=31.1 C, PM1=14.0, PM2=27.6 ug/m3, flame=504, RSSI=-109 dBm, SNR=8.9 dB
LoRa RX #300: T=31.1 C, PM1=14.4, PM2=28.2 ug/m3, flame=500, RSSI=-109 dBm, SNR=9.5 dB
LoRa RX #301: T=31.3 C, PM1=13.9, PM2=26.6 ug/m3, flame=499, RSSI=-110 dBm, SNR=9.4 dB
LoRa RX #302: T=31.2 C, PM1=14.0, PM2=26.6 ug/m3, flame=504, RSSI=-109 dBm, SNR=9.1 dB
LoRa RX #303: T=31.2 C, PM1=14.3, PM2=27.1 ug/m3, flame=511, RSSI=-110 dBm, SNR=9.3 dB
LoRa RX #304: T=31.0 C, PM1=13.5, PM2=26.0 ug/m3, flame=503, RSSI=-110 dBm, SNR=9.1 dB
LoRa RX #305: T=31.2 C, PM1=13.7, PM2=26.6 ug/m3, flame=512, RSSI=-109 dBm, SNR=9.0 dB
LoRa RX #306: T=30.7 C, PM1=13.8, PM2=26.6 ug/m3, flame=511, RSSI=-110 dBm, SNR=9.3 dB
LoRa RX #307: T=30.8 C, PM1=14.0, PM2=26.6 ug/m3, flame=509, RSSI=-108 dBm, SNR=9.2 dB
LoRa RX #308: T=30.7 C, PM1=13.8, PM2=27.0 ug/m3, flame=510, RSSI=-108 dBm, SNR=9.0 dB
LoRa RX #309: T=30.7 C, PM1=14.4, PM2=27.1 ug/m3, flame=516, RSSI=-110 dBm, SNR=9.2 dB
LoRa RX #310: T=30.3 C, PM1=13.9, PM2=25.9 ug/m3, flame=516, RSSI=-110 dBm, SNR=8.8 dB
LoRa RX #311: T=30.4 C, PM1=13.9, PM2=26.1 ug/m3, flame=518, RSSI=-108 dBm, SNR=9.2 dB
LoRa RX #312: T=30.7 C, PM1=13.5, PM2=25.3 ug/m3, flame=511, RSSI=-108 dBm, SNR=8.9 dB
LoRa RX #313: T=30.7 C, PM1=14.3, PM2=26.5 ug/m3, flame=520, RSSI=-107 dBm, SNR=9.2 dB
LoRa RX #314: T=30.8 C, PM1=13.7, PM2=25.3 ug/m3, flame=522, RSSI=-108 dBm, SNR=9.1 dB
LoRa RX #315: T=30.9 C, PM1=13.7, PM2=25.6 ug/m3, flame=518, RSSI=-107 dBm, SNR=8.7 dB
LoRa RX #316: T=30.3 C, PM1=13.5, PM2=24.6 ug/m3, flame=522, RSSI=-108 dBm, SNR=8.7 dB
LoRa RX #317: T=30.7 C, PM1=13.5, PM2=26.0 ug/m3, flame=527, RSSI=-110 dBm, SNR=8.8 dB
LoRa RX #318: T=30.5 C, PM1=14.2, PM2=26.3 ug/m3, flame=523, RSSI=-107 dBm, SNR=9.0 dB
LoRa RX #319: T=30.8 C, PM1=14.0, PM2=25.9 ug/m3, flame=524, RSSI=-107 dBm, SNR=8.6 dB
LoRa RX #320: T=30.8 C, PM1=13.2, PM2=25.2 ug/m3, flame=527, RSSI=-109 dBm, SNR=8.8 dB
LoRa RX #321: T=30.8 C, PM1=13.5, PM2=25.2 ug/m3, flame=528, RSSI=-109 dBm, SNR=8.7 dB
LoRa RX #322: T=30.7 C, PM1=13.7, PM2=25.7 ug/m3, flame=531, RSSI=-108 dBm, SNR=8.7 dB
LoRa RX #323: T=31.2 C, PM1=13.6, PM2=25.1 ug/m3, flame=527, RSSI=-109 dBm, SNR=8.5 dB
LoRa RX #324: T=31.3 C, PM1=14.0, PM2=25.9 ug/m3, flame=534, RSSI=-107 dBm, SNR=8.3 dB
LoRa RX #325: T=31.4 C, PM1=13.8, PM2=25.0 ug/m3, flame=531, RSSI=-109 dBm, SNR=8.5 dB
LoRa RX #326: T=31.8 C, PM1=13.6, PM2=25.0 ug/m3, flame=534, RSSI=-109 dBm, SNR=8.7 dB
LoRa RX #327: T=31.7 C, PM1=13.6, PM2=25.8 ug/m3, flame=527, RSSI=-109 dBm, SNR=8.5 dB
LoRa RX #328: T=31.5 C, PM1=13.6, PM2=25.4 ug/m3, flame=526, RSSI=-108 dBm, SNR=8.7 dB
LoRa RX #329: T=31.6 C, PM1=13.7, PM2=24.3 ug/m3, flame=530, RSSI=-108 dBm, SNR=8.6 dB
LoRa RX #330: T=32.2 C, PM1=13.1, PM2=23.4 ug/m3, flame=530, RSSI=-108 dBm, SNR=8.5 dB
LoRa RX #331: T=32.0 C, PM1=13.2, PM2=23.9 ug/m3, flame=537, RSSI=-107 dBm, SNR=8.5 dB
LoRa RX #332: T=32.3 C, PM1=13.0, PM2=23.5 ug/m3, flame=529, RSSI=-107 dBm, SNR=8.2 dB
LoRa RX #333: T=32.8 C, PM1=13.3, PM2=24.0 ug/m3, flame=532, RSSI=-106 dBm, SNR=8.0 dB
LoRa RX #334: T=32.8 C, PM1=13.0, PM2=23.3 ug/m3, flame=533, RSSI=-109 dBm, SNR=8.4 dB
LoRa RX #335: T=32.9 C, PM1=13.2, PM2=23.5 ug/m3, flame=539, RSSI=-109 dBm, SNR=8.3 dB
LoRa RX #336: T=32.9 C, PM1=13.3, PM2=23.7 ug/m3, flame=535, RSSI=-108 dBm, SNR=7.8 dB
LoRa RX #337: T=33.3 C, PM1=12.9, PM2=23.5 ug/m3, flame=540, RSSI=-106 dBm, SNR=7.8 dB
LoRa RX #338: T=33.7 C, PM1=12.8, PM2=23.7 ug/m3, flame=533, RSSI=-106 dBm, SNR=8.1 dB
LoRa RX #339: T=34.0 C, PM1=12.7, PM2=22.8 ug/m3, flame=540, RSSI=-106 dBm, SNR=8.2 dB
LoRa RX #340: T=34.3 C, PM1=12.9, PM2=23.3 ug/m3, flame=541, RSSI=-106 dBm, SNR=8.0 dB
LoRa RX #341: T=34.4 C, PM1=13.0, PM2=23.7 ug/m3, flame=536, RSSI=-108 dBm, SNR=7.8 dB
LoRa RX #342: T=34.7 C, PM1=13.0, PM2=23.7 ug/m3, flame=536, RSSI=-106 dBm, SNR=7.8 dB
LoRa RX #343: T=34.8 C, PM1=12.9, PM2=22.9 ug/m3, flame=532, RSSI=-107 dBm, SNR=7.9 dB
LoRa RX #344: T=35.0 C, PM1=13.0, PM2=23.1 ug/m3, flame=535, RSSI=-107 dBm, SNR=7.7 dB
LoRa RX #345: T=34.7 C, PM1=12.9, PM2=22.5 ug/m3, flame=530, RSSI=-108 dBm, SNR=7.7 dB
LoRa RX #346: T=34.8 C, PM1=12.8, PM2=22.3 ug/m3, flame=536, RSSI=-106 dBm, SNR=7.7 dB
LoRa RX #347: T=35.1 C, PM1=12.9, PM2=22.4 ug/m3, flame=534, RSSI=-106 dBm, SNR=7.9 dB
LoRa RX #348: T=35.4 C, PM1=12.6, PM2=21.5 ug/m3, flame=530, RSSI=-106 dBm, SNR=7.4 dB
LoRa RX #349: T=35.8 C, PM1=12.3, PM2=21.9 ug/m3, flame=531, RSSI=-105 dBm, SNR=7.6 dB
LoRa RX #350: T=35.4 C, PM1=12.7, PM2=22.5 ug/m3, flame=527, RSSI=-106 dBm, SNR=7.7 dB
LoRa RX #351: T=35.7 C, PM1=11.9, PM2=21.2 ug/m3, flame=530, RSSI=-106 dBm, SNR=7.4 dB
LoRa RX #352: T=36.0 C, PM1=12.1, PM2=21.1 ug/m3, flame=536, RSSI=-105 dBm, SNR=7.1 dB
LoRa RX #353: T=36.6 C, PM1=12.5, PM2=21.9 ug/m3, flame=526, RSSI=-105 dBm, SNR=7.5 dB
LoRa RX #354: T=36.6 C, PM1=12.2, PM2=21.8 ug/m3, flame=533, RSSI=-106 dBm, SNR=7.6 dB
LoRa RX #355: T=36.5 C, PM1=11.8, PM2=21.2 ug/m3, flame=532, RSSI=-107 dBm, SNR=7.4 dB
LoRa RX #356: T=37.0 C, PM1=12.2, PM2=21.2 ug/m3, flame=534, RSSI=-104 dBm, SNR=7.3 dB
LoRa RX #357: T=36.6 C, PM1=11.9, PM2=21.2 ug/m3, flame=532, RSSI=-105 dBm, SNR=7.4 dB
LoRa RX #358: T=36.9 C, PM1=12.4, PM2=22.2 ug/m3, flame=528, RSSI=-104 dBm, SNR=7.3 dB
LoRa RX #359: T=36.6 C, PM1=11.4, PM2=19.4 ug/m3, flame=525, RSSI=-106 dBm, SNR=7.1 dB
LoRa RX #360: T=36.8 C, PM1=11.8, PM2=20.4 ug/m3, flame=524, RSSI=-106 dBm, SNR=7.0 dB
LoRa RX #361: T=37.4 C, PM1=12.1, PM2=20.6 ug/m3, flame=530, RSSI=-104 dBm, SNR=6.9 dB
LoRa RX #362: T=37.5 C, PM1=11.3, PM2=19.2 ug/m3, flame=518, RSSI=-104 dBm, SNR=6.7 dB
LoRa RX #363: T=37.0 C, PM1=11.4, PM2=20.1 ug/m3, flame=528, RSSI=-106 dBm, SNR=6.8 dB
LoRa RX #364: T=37.4 C, PM1=11.2, PM2=19.0 ug/m3, flame=525, RSSI=-107 dBm, SNR=6.6 dB
LoRa RX #365: T=37.7 C, PM1=11.7, PM2=20.0 ug/m3, flame=519, RSSI=-105 dBm, SNR=7.1 dB
LoRa RX #366: T=37.1 C, PM1=11.3, PM2=19.7 ug/m3, flame=518, RSSI=-106 dBm, SNR=6.7 dB
LoRa RX #367: T=37.4 C, PM1=11.0, PM2=19.2 ug/m3, flame=515, RSSI=-104 dBm, SNR=6.5 dB
LoRa RX #368: T=37.6 C, PM1=11.5, PM2=19.6 ug/m3, flame=513, RSSI=-104 dBm, SNR=7.0 dB
LoRa RX #369: T=37.4 C, PM1=11.5, PM2=20.9 ug/m3, flame=514, RSSI=-105 dBm, SNR=6.4 dB
LoRa RX #370: T=37.4 C, PM1=10.6, PM2=18.2 ug/m3, flame=510, RSSI=-105 dBm, SNR=6.7 dB
LoRa RX #371: T=37.2 C, PM1=11.2, PM2=20.3 ug/m3, flame=519, RSSI=-104 dBm, SNR=6.5 dB
LoRa RX #372: T=37.4 C, PM1=10.6, PM2=18.3 ug/m3, flame=510, RSSI=-104 dBm, SNR=6.4 dB
LoRa RX #373: T=37.1 C, PM1=11.3, PM2=19.6 ug/m3, flame=514, RSSI=-104 dBm, SNR=6.7 dB
LoRa RX #374: T=37.1 C, PM1=11.1, PM2=19.9 ug/m3, flame=515, RSSI=-106 dBm, SNR=6.2 dB
LoRa RX #375: T=37.1 C, PM1=10.5, PM2=18.7 ug/m3, flame=513, RSSI=-104 dBm, SNR=6.3 dB
LoRa RX #376: T=37.2 C, PM1=10.7, PM2=19.3 ug/m3, flame=505, RSSI=-104 dBm, SNR=6.7 dB
LoRa RX #377: T=37.5 C, PM1=10.6, PM2=19.3 ug/m3, flame=501, RSSI=-104 dBm, SNR=6.2 dB
LoRa RX #378: T=37.0 C, PM1=10.0, PM2=18.4 ug/m3, flame=505, RSSI=-105 dBm, SNR=6.5 dB
LoRa RX #379: T=36.6 C, PM1=10.7, PM2=18.1 ug/m3, flame=503, RSSI=-105 dBm, SNR=6.1 dB
LoRa RX #380: T=37.2 C, PM1=10.5, PM2=18.7 ug/m3, flame=505, RSSI=-103 dBm, SNR=6.2 dB
LoRa RX #381: T=36.5 C, PM1=10.6, PM2=19.0 ug/m3, flame=499, RSSI=-104 dBm, SNR=6.3 dB
LoRa RX #382: T=36.3 C, PM1=10.5, PM2=18.7 ug/m3, flame=495, RSSI=-104 dBm, SNR=6.4 dB
LoRa RX #383: T=36.8 C, PM1=10.4, PM2=19.1 ug/m3, flame=502, RSSI=-105 dBm, SNR=6.4 dB
LoRa RX #384: T=36.1 C, PM1=9.8, PM2=17.2 ug/m3, flame=502, RSSI=-105 dBm, SNR=5.9 dB
LoRa RX #385: T=36.2 C, PM1=10.3, PM2=17.8 ug/m3, flame=498, RSSI=-104 dBm, SNR=6.2 dB
LoRa RX #386: T=35.9 C, PM1=9.7, PM2=18.0 ug/m3, flame=500, RSSI=-102 dBm, SNR=6.0 dB
LoRa RX #387: T=35.7 C, PM1=10.2, PM2=18.0 ug/m3, flame=490, RSSI=-103 dBm, SNR=5.8 dB
LoRa RX #388: T=35.4 C, PM1=9.7, PM2=18.1 ug/m3, flame=494, RSSI=-102 dBm, SNR=6.0 dB
LoRa RX #389: T=35.3 C, PM1=9.8, PM2=17.4 ug/m3, flame=491, RSSI=-102 dBm, SNR=6.3 dB
LoRa RX #390: T=35.1 C, PM1=9.9, PM2=17.8 ug/m3, flame=490, RSSI=-102 dBm, SNR=6.2 dB
LoRa RX #391: T=34.8 C, PM1=9.9, PM2=17.7 ug/m3, flame=487, RSSI=-102 dBm, SNR=6.0 dB
LoRa RX #392: T=35.3 C, PM1=9.6, PM2=17.7 ug/m3, flame=487, RSSI=-102 dBm, SNR=5.9 dB
LoRa RX #393: T=34.8 C, PM1=9.4, PM2=16.7 ug/m3, flame=485, RSSI=-104 dBm, SNR=5.7 dB
LoRa RX #394: T=34.9 C, PM1=9.2, PM2=16.0 ug/m3, flame=491, RSSI=-101 dBm, SNR=5.9 dB
LoRa RX #395: T=34.5 C, PM1=9.5, PM2=17.4 ug/m3, flame=487, RSSI=-102 dBm, SNR=5.9 dB
LoRa RX #396: T=33.9 C, PM1=9.1, PM2=15.9 ug/m3, flame=488, RSSI=-103 dBm, SNR=5.6 dB
LoRa RX #397: T=33.9 C, PM1=9.0, PM2=15.8 ug/m3, flame=482, RSSI=-103 dBm, SNR=6.1 dB
LoRa RX #398: T=34.1 C, PM1=9.0, PM2=17.1 ug/m3, flame=486, RSSI=-102 dBm, SNR=5.7 dB
LoRa RX #399: T=33.9 C, PM1=9.7, PM2=17.5 ug/m3, flame=482, RSSI=-103 dBm, SNR=6.1 dB
LoRa RX #400: T=33.4 C, PM1=8.8, PM2=15.8 ug/m3, flame=476, RSSI=-103 dBm, SNR=6.0 dB
